smiles,logCMC
CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,-0.688246139
CCCCCCS(=O)CCCCCO,2.255272505
CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,-3.004364805
CCCCCC(=O)OC[C@H](O)[C@@H](O)[C@H](O)CO,1.0
CCCCCCCCC(=O)OCC(O)C(O)C(O)CO,0.622214023
CCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,0.301029996
CCCCCCCCCCCCC(=O)NCCOCCOCCOCCOCCOCCOCCO,-0.187086643
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],0.146128036
CCCCCCOCC(O)C(O)C(O)CO,0.986771734
CC(CCC(=O)N(CCCNC(=O)C(O)C(O)C(O)C(O)CO)CCCNC(=O)C(O)C(O)C(O)C(O)CO)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,0.462397998
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],-0.494850022
CCCCCCCCOCC1OC(O)C(O)C(O)C1O,1.079181246
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,-0.522878745
CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-2.490644359
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],1.477121255
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,-1.013228266
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],1.342422681
CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],1.591064607
CCCCCCCCCCCCN(CCCNC(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(CO)C(O)C(O)C1O)[C@H](O)CO)CCN(CCCCCCCCCCCC)CCCNC(=O)[C@H](O)[C@@H](O)[C@H](OC1OC(CO)C(O)C(O)C1O)[C@H](O)CO,-2.051098239
CCCCCCCCCCCCC(=O)NCCOCCOCCOCCO,-0.292429824
CCCCOCC(O)C(O)C(O)CO,1.782114148
CCCCCCCCc1cccc(OCCOCCOCCOCCOCCOCCOCCOCCO)c1,-0.549750892
CCCCCCCCC(CC)OS(=O)(=O)[O-].CCC[N+](CCC)(CCC)CCC,0.342422681
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],-0.657577319
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)CO,-0.443697499
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],-0.754487332
OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.397940009
CCCCCCCCc1ccc(OCCOCCOCCO)cc1,-1.01278077
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,-0.522878745
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],0.267171728
CCCCCCCCOCC(O)CO,0.761551989
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.11058971
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],1.819543936
CCCCCCCCCC[n+]1ccccc1.[Br-],1.643452676
CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],0.875061263
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],-0.008773924
CCCCCCC(=O)OCC(O)C(O)C(O)CO,1.0
CCCCCCCCCOC1OC(CO)C(O)C(O)C1N,0.82314806
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],-0.040958608
CCCCCCCCCCOC[C@H](O)[C@@H](O)[C@H](O)CO,-0.092051478
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,-0.850780887
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.51851394
CCCCCCCCCCC[n+]1ccccc1.[Br-],1.322219295
CCCCCCCCS(C)=O,1.361727836
CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],0.431363764
CCCCCCOCCOCCOCCOCCOCCOCCO,1.840106094
CCCCCCCCc1cccc(OCCOCCOCCOCCO)c1,-0.88941029
CC(C)CCCC(C)CCOC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O,0.602059991
CCCCCCCCc1cccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)c1,-0.480172006
CCCCCCCCN(CCCNC(=O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO)CCN(CCCCCCCC)CCCNC(=O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)CO,-1.173925197
CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C.[Na+],0.278753601
CCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,-0.602059991
CCCCCCCCCCCCCCCC(=O)OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,-2.119758224
CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,-0.72010502
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,-0.8261012
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],0.322219295
CCCCCCCCCCCCO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,-0.698970004
CCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],0.352182518
CC(C)CCCC(C)CCCC(C)CCOC1O[C@@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,-1.707743929
CCCCCCCCc1cccc(OCCOCCOCCOCCOCCOCCOCCO)c1,-0.600326279
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,-0.602059991
